HOST_COMMON_NAME,OBJID,RA,DEC,D_PROJ,DELTA_HRV,R,R_ABS,GR,MU_EFF,LOG_STELLAR_MASS,H_ALPHA,Z_SOURCE,INTERNAL_HOSTID,INTERNAL_OBJID
NGC4158,1237668298203070473,182.4280,20.0469,230,60,16.75,-16.1,0.37,23.31,8.09,Y,ALFALF,nsa161174,1237668298203070473
NGC4158,LS-446799-3923,182.6898,20.5927,270,118,18.16,-14.6,0.25,23.80,7.39,Y,MMT,nsa161174,4467990000000003923
NGC4158,LS-444092-4124,182.8481,20.0633,78,-84,19.78,-13.0,0.29,23.25,6.78,Y,MMT,nsa161174,4440920000000004124
NGC4158,LS-444093-4832,183.1177,20.1081,197,16,19.84,-13.0,0.32,23.99,6.79,Y,MMT,nsa161174,4440930000000004832
NGC4348,LS-310953-4341,185.5829,-3.4094,203,-48,20.31,-12.1,0.13,23.78,6.23,Y,AAT,nsa3469,3109530000000004341
NGC4454,NSA-19694,187.2117,-2.0609,74,160,14.30,-18.4,0.62,20.70,9.31,Y,SDSS+,nsa141465,19694
NGC4454,LS-321038-4238,187.5895,-1.6383,297,-152,16.91,-15.8,0.23,24.25,7.84,Y,2dF,nsa141465,3210380000000004238
NGC4454,NSA-628407,187.2415,-1.6030,208,204,18.48,-14.3,0.61,23.42,7.63,Y,NSA,nsa141465,628407
NGC4454,LS-321038-2612,187.5592,-1.7291,250,-163,19.88,-12.9,0.35,23.93,6.78,Y,AAT,nsa141465,3210380000000002612
NGC5297,NSA-677369,206.5777,43.8514,15,-154,13.96,-18.8,0.50,20.80,9.32,Y,SDSS,nsa143856,677369
NGC5297,NSA-265851,207.0967,43.7087,245,-139,14.96,-17.8,0.31,21.73,8.72,Y,SDSS,nsa143856,265851
NGC5297,LS-558703-937,206.6083,43.4521,260,54,16.58,-16.2,0.33,23.89,8.09,Y,MMT,nsa143856,5587030000000000937
NGC5297,1237661852013166857,206.9900,43.5872,248,82,17.75,-15.0,0.53,23.00,7.84,N,PAL,nsa143856,1237661852013166857
NGC5297,LS-561826-172,206.2129,44.1393,238,63,19.03,-13.7,0.50,22.96,7.30,N,MMT,nsa143856,5618260000000000172
NGC5297,LS-561826-1312,206.2337,44.2385,279,55,19.58,-13.2,0.30,25.48,6.85,Y,MMT,nsa143856,5618260000000001312
NGC5297,LS-561826-847,206.2622,44.1987,251,144,19.74,-13.0,0.37,22.82,6.87,N,MMT,nsa143856,5618260000000000847
NGC5347,LS-513578-3277,208.2657,33.5912,67,149,18.19,-14.5,0.41,22.59,7.51,Y,MMT,nsa94340,5135780000000003277
NGC5347,LS-513579-159,208.4808,33.3850,101,33,18.72,-14.0,0.42,23.72,7.31,Y,MMT,nsa94340,5135790000000000159
